2019-06-11 21:59:39: Turning Off Copy Attributes, as one of file systems does not support it
2019-06-11 21:59:39: Turning Off Copy Symbolic Links, as one of file systems does not support it. You may want to consider using Job -> Options -> Advanced -> Links -> Drill Down, if you need to copy folder to which the link points
2019-06-11 21:59:40: -- 分析开始 User Command
2019-06-11 22:00:13: 变更：279， 冲突：0， 复制时间：0， 复制状态：0， 错误： 0, All: 405
2019-06-11 22:00:13: Left to Right: Copy File: 279 
2019-06-11 22:00:13: -- 分析已结束。历时 00:00:34, 速度： 11 文件/秒
2019-06-11 22:00:13: 
2019-06-11 22:00:22: == 同步开始由 User Command
2019-06-11 22:01:02: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Bold.ttf' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Bold.ttf' (127,744)
2019-06-11 22:01:03: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Bold.woff' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Bold.woff' (62,876)
2019-06-11 22:01:03: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Bold.woff2' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Bold.woff2' (49,976)
2019-06-11 22:01:04: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Light.eot' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Light.eot' (20,940)
2019-06-11 22:01:05: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Light.ttf' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Light.ttf' (126,792)
2019-06-11 22:01:06: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Light.woff' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Light.woff' (62,316)
2019-06-11 22:01:07: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Light.woff2' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Light.woff2' (49,380)
2019-06-11 22:01:08: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Medium.eot' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Medium.eot' (21,364)
2019-06-11 22:01:09: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Medium.ttf' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Medium.ttf' (127,488)
2019-06-11 22:01:10: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Medium.woff' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Medium.woff' (62,980)
2019-06-11 22:01:11: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Medium.woff2' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Medium.woff2' (50,224)
2019-06-11 22:01:12: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Regular.eot' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Regular.eot' (21,320)
2019-06-11 22:01:13: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Regular.ttf' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Regular.ttf' (126,072)
2019-06-11 22:01:14: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Regular.woff' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Regular.woff' (61,736)
2019-06-11 22:01:15: 覆盖复制 'G:/OneDrive/Github/时光之笔/public/css/fonts/roboto/Roboto-Regular.woff2' -> 'ftp://vhost521.cloudvhost.cn/WEB/css/fonts/roboto/Roboto-Regular.woff2' (49,236)
